Tipe,Baris Excel,Kode AHSP,Nama AHSP,Kategori,Kode Item,Uraian Item,Satuan,Koefisien,Duplikat dari Baris,Alasan
DUPLIKAT,716,2.2.1.1.2,"1 kg Penulangan slab untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.0016,715,Sama persis dengan baris 715 (kategori + kode_item + uraian + satuan)
DUPLIKAT,717,2.2.1.1.2,"1 kg Penulangan slab untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0021,Tukang besi/besi beton,OH,0.0016,714,Sama persis dengan baris 714 (kategori + kode_item + uraian + satuan)
DUPLIKAT,719,2.2.1.1.2,"1 kg Penulangan slab untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.028,718,Sama persis dengan baris 718 (kategori + kode_item + uraian + satuan)
DUPLIKAT,723,2.2.1.1.3,"1 kg Penulangan kolom, balok, ring balk, dan sloof untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.00016,722,Sama persis dengan baris 722 (kategori + kode_item + uraian + satuan)
DUPLIKAT,725,2.2.1.1.3,"1 kg Penulangan kolom, balok, ring balk, dan sloof untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.00016,724,Sama persis dengan baris 724 (kategori + kode_item + uraian + satuan)
DUPLIKAT,727,2.2.1.1.3,"1 kg Penulangan kolom, balok, ring balk, dan sloof untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.0016,726,Sama persis dengan baris 726 (kategori + kode_item + uraian + satuan)
DUPLIKAT,731,2.2.1.1.3,"1 kg Penulangan kolom, balok, ring balk, dan sloof untuk BjTS diameter < 12 mm, cara Manual (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.028,730,Sama persis dengan baris 730 (kategori + kode_item + uraian + satuan)
DUPLIKAT,738,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.00025,736,Sama persis dengan baris 736 (kategori + kode_item + uraian + satuan)
DUPLIKAT,739,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.00025,736,Sama persis dengan baris 736 (kategori + kode_item + uraian + satuan)
DUPLIKAT,740,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.00025,736,Sama persis dengan baris 736 (kategori + kode_item + uraian + satuan)
DUPLIKAT,741,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0002,Kepala Tukang,OH,0.00025,736,Sama persis dengan baris 736 (kategori + kode_item + uraian + satuan)
DUPLIKAT,742,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.00025,737,Sama persis dengan baris 737 (kategori + kode_item + uraian + satuan)
DUPLIKAT,743,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.00025,737,Sama persis dengan baris 737 (kategori + kode_item + uraian + satuan)
DUPLIKAT,744,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.00025,737,Sama persis dengan baris 737 (kategori + kode_item + uraian + satuan)
DUPLIKAT,745,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0001,Mandor,OH,0.00025,737,Sama persis dengan baris 737 (kategori + kode_item + uraian + satuan)
DUPLIKAT,748,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.0025,746,Sama persis dengan baris 746 (kategori + kode_item + uraian + satuan)
DUPLIKAT,749,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.0025,746,Sama persis dengan baris 746 (kategori + kode_item + uraian + satuan)
DUPLIKAT,750,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.0025,746,Sama persis dengan baris 746 (kategori + kode_item + uraian + satuan)
DUPLIKAT,751,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0005,Pekerja,OH,0.0025,746,Sama persis dengan baris 746 (kategori + kode_item + uraian + satuan)
DUPLIKAT,753,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0021,Tukang besi/besi beton,OH,0.0025,752,Sama persis dengan baris 752 (kategori + kode_item + uraian + satuan)
DUPLIKAT,754,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0021,Tukang besi/besi beton,OH,0.0025,752,Sama persis dengan baris 752 (kategori + kode_item + uraian + satuan)
DUPLIKAT,755,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",TK,TK-0021,Tukang besi/besi beton,OH,0.0025,752,Sama persis dengan baris 752 (kategori + kode_item + uraian + satuan)
DUPLIKAT,757,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.005,756,Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,758,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.005,756,Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,759,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.005,756,Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,760,2.2.1.1.4,"1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)",BHN,B-0134,Kawat tali beton,kg,0.028,756,Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,769,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0002,Kepala Tukang,OH,0.00002,768,Sama persis dengan baris 768 (kategori + kode_item + uraian + satuan)
DUPLIKAT,770,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0002,Kepala Tukang,OH,0.00002,768,Sama persis dengan baris 768 (kategori + kode_item + uraian + satuan)
DUPLIKAT,772,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0001,Mandor,OH,0.00004,771,Sama persis dengan baris 771 (kategori + kode_item + uraian + satuan)
DUPLIKAT,773,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0001,Mandor,OH,0.00004,771,Sama persis dengan baris 771 (kategori + kode_item + uraian + satuan)
DUPLIKAT,775,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),ALT,PR-0041,Cutter besi beton,hari,0.0001,774,Sama persis dengan baris 774 (kategori + kode_item + uraian + satuan)
DUPLIKAT,776,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),ALT,PR-0041,Cutter besi beton,hari,0.0001,774,Sama persis dengan baris 774 (kategori + kode_item + uraian + satuan)
DUPLIKAT,777,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0002,Kepala Tukang,OH,0.00025,768,Sama persis dengan baris 768 (kategori + kode_item + uraian + satuan)
DUPLIKAT,778,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0001,Mandor,OH,0.00025,771,Sama persis dengan baris 771 (kategori + kode_item + uraian + satuan)
DUPLIKAT,780,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0005,Pekerja,OH,0.0004,779,Sama persis dengan baris 779 (kategori + kode_item + uraian + satuan)
DUPLIKAT,781,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0005,Pekerja,OH,0.0004,779,Sama persis dengan baris 779 (kategori + kode_item + uraian + satuan)
DUPLIKAT,783,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0021,Tukang besi/besi beton,OH,0.0004,782,Sama persis dengan baris 782 (kategori + kode_item + uraian + satuan)
DUPLIKAT,784,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0021,Tukang besi/besi beton,OH,0.0004,782,Sama persis dengan baris 782 (kategori + kode_item + uraian + satuan)
DUPLIKAT,785,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0005,Pekerja,OH,0.0025,779,Sama persis dengan baris 779 (kategori + kode_item + uraian + satuan)
DUPLIKAT,786,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),TK,TK-0021,Tukang besi/besi beton,OH,0.0025,782,Sama persis dengan baris 782 (kategori + kode_item + uraian + satuan)
DUPLIKAT,788,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),BHN,B-0134,Kawat tali beton,kg,0.005,787,Sama persis dengan baris 787 (kategori + kode_item + uraian + satuan)
DUPLIKAT,789,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),BHN,B-0134,Kawat tali beton,kg,0.005,787,Sama persis dengan baris 787 (kategori + kode_item + uraian + satuan)
DUPLIKAT,790,2.2.1.1.5,1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung),BHN,B-0134,Kawat tali beton,kg,0.005,787,Sama persis dengan baris 787 (kategori + kode_item + uraian + satuan)
